origin_id,origin_dipslay_name,destination_id,destination_display_name,date_range,mean_travel_time,range_lower,range_upper
"177","1230 Peachtree St NE, Atlanta, GA","639","Census Tract 502.17","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1992,1379,2877
"177","1230 Peachtree St NE, Atlanta, GA","641","Census Tract 503.17","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1517,1126,2043
"177","1230 Peachtree St NE, Atlanta, GA","642","Census Tract 503.20","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1263,878,1816
"177","1230 Peachtree St NE, Atlanta, GA","643","Census Tract 503.18","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1907,1392,2612
"177","1230 Peachtree St NE, Atlanta, GA","644","Census Tract 502.15","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1643,1186,2275
"177","1230 Peachtree St NE, Atlanta, GA","645","Census Tract 406.15","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1732,1398,2144
"177","1230 Peachtree St NE, Atlanta, GA","647","Census Tract 402.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2101,1557,2834
"177","1230 Peachtree St NE, Atlanta, GA","649","Census Tract 405.20","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1723,1173,2529
"177","1230 Peachtree St NE, Atlanta, GA","650","Census Tract 405.22","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1712,1230,2382
"177","1230 Peachtree St NE, Atlanta, GA","653","Census Tract 503.21","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2061,1613,2633
"177","1230 Peachtree St NE, Atlanta, GA","654","Census Tract 504.34","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1410,1004,1978
"177","1230 Peachtree St NE, Atlanta, GA","657","Census Tract 406.22","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2529,1981,3228
"177","1230 Peachtree St NE, Atlanta, GA","664","Census Tract 301.07","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1837,1408,2395
"177","1230 Peachtree St NE, Atlanta, GA","667","Census Tract 505.35","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1819,1320,2505
"177","1230 Peachtree St NE, Atlanta, GA","669","Census Tract 505.36","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1943,1414,2668
"177","1230 Peachtree St NE, Atlanta, GA","671","Census Tract 304.13","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1044,761,1431
"177","1230 Peachtree St NE, Atlanta, GA","672","Census Tract 304.14","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1058,749,1492
"177","1230 Peachtree St NE, Atlanta, GA","673","Census Tract 304.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1193,892,1594
